Product,Description,Features,Supplier Note,Polished,Source
Bella/Canvas 3010,"A heavyweight streetwear tee cut from 6 oz. 100% Airlume combed and ring-spun cotton with a structured, boxy silhouette. Dropped shoulders and a relaxed fit give it an on-trend look, while side seams and a tear-away label make it easy to customize.","6 oz./yd² (US), 10 oz./L yd (CA), 100% Airlume combed and ring-spun cotton, 20 singles|Athletic Heather is 90/10 Airlume combed and ring-spun cotton/polyester|Heavyweight|Pre-shrunk|Relaxed/boxy fit|Drop shoulder|Double-needle stitched neck|Side seams|Tear away label",Made  in a WRAP-accredited (platinum) and bluesign certified facility partnered with the Fair Labor Association.,,
OAD 108,A jumbo gusseted tote built from durable 12 oz. 100% cotton canvas with a spacious main compartment for everyday hauling. Long self-fabric handles and a non-branded label make it a clean canvas for custom branding.,"12 oz./L yd, 100% cotton canvas|22"" self-fabric handles|20""W x 15""H x 5""D bottom gusset|Non-branded label/tag", ,,
Independent Trading Co. IND4000,"The original heavyweight pullover hoodie in a substantial 10 oz. 3-end fleece with a 100% cotton face for a smooth, print-ready surface. A generous fit, fleece-lined hood, nickel eyelets and 1x1 ribbing deliver retail-quality comfort.","10 oz./yd² (US), 16.7 oz./L yd (CA), 70/30 ring-spun cotton/polyester 3-end fleece with 100% cotton face, 32 singles|Heather colors are 52/48 cotton/polyester|Camo colors are 75/25 cotton/polyester|Generous fit|Fleece-lined hood|Split-stitch double-needle sewing on all seams|Twill neck tape|1x1  ribbing at cuffs and waistband|Nickel  eyelets|Tear away label",Made in a WRAP certified facility. ,,
Richardson 168,"A contemporary seven-panel trucker with a seamless front and a high-profile crown, built for bold decoration. Cotton/poly twill front panels pair with a breathable polyester mesh back and a flat bill finished with an adjustable snapback.","60/40 cotton/polyester twill front|100% polyester mesh back|Structured, seven-panel, Hi Pro profile|Flat bill|Adjustable snapback closure|One size fits most",Richardson is an official partner of Captains for Clean Water.,,
Richardson 112,"The best-selling structured trucker with firm, decoration-ready cotton/poly front panels and a breathable mesh back. A pre-curved bill and adjustable snapback deliver a classic mid-profile fit.","60/40 cotton/polyester twill front|100% polyester mesh back|Structured, six-panel, mid-profile|Pre-curved bill|Adjustable snapback closure|One size fits most",,,
Valucap VC300A,"An unstructured, low-profile dad cap made from soft 100% bio-washed chino twill for a lived-in feel. A pre-curved visor and self-fabric tri-glide buckle give it a relaxed, everyday fit.","100% bio-washed chino twill|Unstructured, six-panel, low-profile|Pre-curved visor|Self-fabric tri-glide buckle closure - antique brass|Tear away label|Adjustable","Made in a WRAP certified, Higg-assessed facility.",,
Valucap SP500,"A relaxed pigment-dyed dad cap in soft 100% cotton twill with a washed, vintage look. Unstructured six-panel construction, a pre-curved visor and a tri-glide buckle give it an easy, adjustable fit.","100% cotton, pigment-dyed twill|Unstructured, six-panel, low-profile|Pre-curved visor|Tri-glide buckle closure|Adjustable",Made in a WRAP certified facility. (limited source data),,
Q-Tees 25L Q600,A jumbo 25L tote in heavy 12 oz. 100% cotton canvas with a squared shape and bottom gusset for maximum capacity. Long webbed handles and double-stitched seams make it a durable promotional carry-all.,"12 oz./yd² (US), 20 oz./L yd (CA), 100% heavy cotton canvas|Bottom gusset|23"" web canvas handles|10"" handle drop|20""W x 15""H x 5""D",,,
Adam's LP101,"A low-profile, unstructured dad hat in 100% garment-washed, pigment-dyed cotton twill with a slightly distressed finish. An exclusive Cool-Crown mesh lining, self-fabric sweatband and tuck-away leather back strap add comfort and a premium look.","100% garment-washed, pigment-dyed cotton twill|Cool-Crown mesh lining|Unstructured, six-panel, low-profile|Pre-curved bill|Self-fabric sweatband|Tuck-away leather back strap with antiqued brass buckle and grommet|Adjustable",Made in an OEKO-TEX certified facility.,,
Hanes GDH100,"A lightweight garment-dyed tee in 5.5 oz. US-grown 100% ring-spun cotton with a vintage-washed, super-soft hand. Enzyme washing and a ribbed set-in collar deliver no-shrink comfort wash after wash.","5.5 oz./yd², US grown 100% ring-spun cotton|Garment/enzyme  washed|Double-needle  coverstitched|Twill neck tape|Ribbed set-in collar|Shoulder-to-shoulder taping|3/4"" hems|Twill label",Made  in an OEKO-TEX and FLA certified facility; contains US-grown BCI cotton. ,,
Next Level 3600,"A soft, retail-fit crew tee in 4.3 oz. 100% combed ring-spun cotton with a lightweight 32-singles hand. Pre-laundered with side seams for a modern, trend-right silhouette.","4.3 oz./yd² (US), 7.2 oz./L yd (CA), 100% combed ring-spun cotton, 32 singles|Heather Grey is 90/10 cotton/polyester|Oatmeal is 99/1 cotton/polyester|Regular fit|Self 3/8"" shoulder-to-shoulder binding|3/4"" neckband with 1x1 rib|Side seams|Tear away label",Made in an FLA certified facility.,,
Richardson 112RE,"A sustainable take on the iconic 112 trucker built from 100% recycled polyester twill. Keeps the structured six-panel, mid-profile crown, pre-curved bill and adjustable snapback of the original.","100% recycled polyester twill|Structured, six-panel, mid-profile|Pre-curved bill|Adjustable snapback closure|One size fits most",Contains 100% recycled polyester;  made in a WRAP certified facility; official partner of Captains for Clean Water.,,
Bella/Canvas 3001Ycvc,The youth version of the popular Heather CVC tee in soft 4.2 oz. 52/48 Airlume combed ring-spun cotton/polyester with a vintage heathered texture. Side seams and a retail fit make it a print-ready everyday staple.,"4.2 oz./yd², 52/48 Airlume combed ring-spun cotton/polyester, 32 singles|Athletic Heather and Black Heather are 90/10|Side-seamed|Retail fit|Tear away label",Made in a WRAP-accredited facility; Bella+Canvas uses bluesign certified dyes and solar-powered cutting.,,
Bella/Canvas 4810GD,"A heavyweight garment-dyed tee in 6.5 oz. 100% ring-spun cotton with a washed, lived-in look and an ultra-premium dry hand. A dense weave resists shrinkage and torquing while a relaxed, inclusive fit and semi-dropped shoulder give it a modern silhouette.","6.5 oz./yd², 100% ring-spun cotton, 18 singles|Cotton thread for dye absorption|Relaxed, inclusive fit|Semi-dropped shoulder|7/8"" ribbed neckband with double-needle topstitching|Side seams|Enhanced tear away label",,,
As Colour 5026,"A heavyweight classic tee in 6.5 oz. 22-singles 100% combed cotton, built for printing and durability. Neck ribbing, side seams, shoulder-to-shoulder tape and double-needle hems keep it structured, and the fabric is preshrunk to minimize shrinkage.","6.5 oz. (approx.), 22 singles, 100% combed cotton|Regular fit|Crew neck|Neck ribbing|Side seams|Shoulder-to-shoulder tape|Double-needle hems|Preshrunk",Made  under Amfori BSCI ethical trade standards.,,
As Colour 5001,"A mid-weight staple tee in 5.3 oz. 100% combed cotton with a regular fit and a soft, smooth finish. Neck ribbing, side seams and double-needle hems give it lasting, retail-quality construction.","5.3 oz. (180 GSM), 100% combed cotton (marles contain 15% viscose)|Regular fit|Crew  neck|Neck ribbing|Side seams|Shoulder-to-shoulder tape|Double-needle hems|Preshrunk",Made under Amfori BSCI ethical trade standards.,,
Port & Co PC099,"A beach-wash garment-dyed tee in 5.5 oz. 100% ring-spun cotton with a soft, broken-in feel and casual, washed color. A 1x1 rib-knit collar and standard fit make it a comfortable, print-ready blank.","5.5 oz./yd², 100% garment-dyed ring-spun cotton|Standard fit|1x1 rib-knit collar|Prepared-for-dye construction|Tear away label",Garment-dyed; slight color variation is inherent to the process. (limited source data),,
LAT 3507,"A women's fine jersey V-neck in 4.5 oz. 100% combed ring-spun cotton with a modern, semi-fitted cut. A topstitched ribbed V-neck, side seams and double-needle hems give it a clean retail finish.","4.5 oz./yd², 100% combed ring-spun cotton, 30 singles|Heather  colors are 90/10 cotton/polyester|Semi-fitted fit|Topstitched ribbed V-neck collar|Self-fabric  back neck tape|Side seams|Double-needle sleeves and hem|EasyTear label",Made in an OEKO-TEX certified facility.,,
Independent Trading Co SS4500z,"A midweight full-zip hoodie in 8.5 oz. 80/20 ring-spun cotton/polyester fleece with a 100% cotton face for smooth printing. A jersey-lined hood, metal zipper and 1x1 ribbing deliver durable, everyday comfort.","8.5 oz./yd² (US), 14.1 oz./L yd (CA), 80/20 ring-spun cotton/polyester fleece with 100% cotton face, 20 singles|Grey Heather is 75/25|Classic fit|Jersey-lined hood|Split-stitch  double-needle sewing on all seams|Twill neck tape|1x1 ribbing at cuffs and waistband|Metal eyelets and zipper|Front pouch pockets|Tear  away label",Made in a WRAP certified facility.,,
Bella Canvas 3719,"A sponge fleece pullover hoodie in a soft 8 oz. 52/48 Airlume combed ring-spun cotton/polyester blend with a smooth, print-ready surface. A retail fit, front pouch pocket, and ribbed cuffs and waistband make it a modern everyday layer.","8 oz./yd², 52/48 Airlume combed ring-spun cotton/polyester fleece, 32 singles|Athletic Heather is 90/10|Heather Navy is 60/40|Retail fit|White drawcords|Front pouch pocket|Ribbed cuffs and waistband|Side seams|Tear away label",Made in a WRAP certified facility; Bella+Canvas is an FLA participating company. ,,
Bella Canvas 3739,A sponge fleece full-zip hoodie in soft 8 oz. Airlume cotton/polyester fleece with kangaroo pockets and a full-zip closure. Ribbed cuffs and waistband and a tear-away label make it easy to wear and customize.,"8 oz./yd², 52/48 Airlume combed ring-spun cotton/polyester fleece, 32 singles|Athletic Heather is 90/10|Heather Navy is 60/40|Retail fit|Full-zip closure with white taping and drawcords|Kangaroo pockets|Ribbed cuffs and waistband|Side seams|Tear away label",Made in a WRAP certified facility; Bella+Canvas is an FLA participating company.,,
